"date","datatype","station","attributes","value"
"2020-01-01T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.2
"2020-01-01T00:00:00","TMAX","GHCND:ASN00085279",",,a,",23.9
"2020-01-01T00:00:00","TMIN","GHCND:ASN00085279",",,a,",7.8
"2020-01-02T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-02T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.1
"2020-01-02T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.4
"2020-01-03T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-03T00:00:00","TMAX","GHCND:ASN00085279",",,a,",24.9
"2020-01-03T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.7
"2020-01-04T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-04T00:00:00","TMAX","GHCND:ASN00085279",",,a,",35.6
"2020-01-04T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.2
"2020-01-05T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-05T00:00:00","TMAX","GHCND:ASN00085279",",,a,",16.3
"2020-01-05T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13
"2020-01-06T00:00:00","PRCP","GHCND:ASN00085279",",,a,",12.6
"2020-01-06T00:00:00","TMAX","GHCND:ASN00085279",",,a,",16.4
"2020-01-06T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.7
"2020-01-07T00:00:00","PRCP","GHCND:ASN00085279",",,a,",7.4
"2020-01-07T00:00:00","TMAX","GHCND:ASN00085279",",,a,",22.8
"2020-01-07T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.3
"2020-01-08T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-08T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.5
"2020-01-08T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.1
"2020-01-09T00:00:00","PRCP","GHCND:ASN00085279",",,a,",1
"2020-01-09T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25.7
"2020-01-09T00:00:00","TMIN","GHCND:ASN00085279",",,a,",16.8
"2020-01-10T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-10T00:00:00","TMAX","GHCND:ASN00085279",",,a,",37.3
"2020-01-10T00:00:00","TMIN","GHCND:ASN00085279",",,a,",15.5
"2020-01-11T00:00:00","PRCP","GHCND:ASN00085279",",,a,",13.4
"2020-01-11T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.1
"2020-01-11T00:00:00","TMIN","GHCND:ASN00085279",",,a,",12.8
"2020-01-12T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-12T00:00:00","TMAX","GHCND:ASN00085279",",,a,",21.6
"2020-01-12T00:00:00","TMIN","GHCND:ASN00085279",",,a,",11.3
"2020-01-13T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-13T00:00:00","TMAX","GHCND:ASN00085279",",,a,",25
"2020-01-13T00:00:00","TMIN","GHCND:ASN00085279",",,a,",9.5
"2020-01-14T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-14T00:00:00","TMAX","GHCND:ASN00085279",",,a,",30.1
"2020-01-14T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.8
"2020-01-15T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-15T00:00:00","TMAX","GHCND:ASN00085279",",,a,",29.1
"2020-01-15T00:00:00","TMIN","GHCND:ASN00085279",",,a,",14.4
"2020-01-16T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.4
"2020-01-16T00:00:00","TMAX","GHCND:ASN00085279",",,a,",20.7
"2020-01-16T00:00:00","TMIN","GHCND:ASN00085279",",,a,",17.7
"2020-01-17T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0.4
"2020-01-17T00:00:00","TMAX","GHCND:ASN00085279",",,a,",18.2
"2020-01-17T00:00:00","TMIN","GHCND:ASN00085279",",,a,",13.3
"2020-01-18T00:00:00","PRCP","GHCND:ASN00085279",",,a,",0
"2020-01-18T00:00:00","TMAX","GHCND:ASN00085279",",,a,",23.3
